상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
[올리브영 단독대용량]바이오더마 센시비오 H2O 850ml,37500,"정제수, 피이지-6카프릴릭/카프릭글리세라이즈, 다이소듐이디티에이, 세트리모늄브로마이드, 프로필렌글라이콜, 오이열매추출물, 프룩토올리고사카라이드, 만니톨, 자일리톨, 람노오스","20대,30대",복합성,None,1,29364
[증정] 마녀공장 퓨어 클렌징 오일 200ml+퓨어폼 20ml,19900,"돌콩오일, 유럽개암씨오일, 솔베스-30테트라올리에이트, 포도씨오일, 올리브오일, 카프릴릭/카프릭트라이글리세라이드, 식물성스쿠알란, 아이소아밀라우레이트, 동백나무씨오일, 달맞이꽃오일, 호호바씨오 일, 해바라기씨오일, 아르간커넬오일, 바바수씨오일, 비누풀잎추출물, 녹차추출물, 쌀겨오일, 쌀발효여과물, 데실글루코사이드, 은행나 무잎추출물, 라벤더오일, 알로에베라잎추출물, 오렌지오일, 티트리잎오일, 토코페롤",20대,복합성,None,2,10819
[주현영Pick]야다 그린 티 퓨어 클렌징 밤 100ml,24800,"올리브오일, 세틸에틸헥사노에이트, 에틸헥실팔미테이트, 카프릴릭/카프릭트라이글리세라이드, 피이지-20글리세릴트라이아이소스테아레이트, 폴리에틸렌, 해바라기씨오일, 1,2-헥산다이올, 정제수, 부틸렌글라이콜, 녹차가루(0.3%), 호호바씨오일, 레몬껍질오일, 세드랏껍질오일, 왕귤껍질오일, 오렌지오일, 필리핀오렌지껍질오일, 라벤더오일, 유 칼립투스잎오일, 로즈마리잎오일, 토코페롤, 오렌지꽃오일,리모넨","20대,40대 이상","건성, 복합성",None,3,338
[피지순삭] 넘버즈인 1번 말끔 순삭 클렌징 오일 400ml 대용량 기획,35000,"옥수수오일, 아이소프로필미리스테이트, 솔베스-30테트라올리에이트, 에틸헥실팔미테이트, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아릴말레이트, 솔비탄세스퀴올리에이트, 퀸즈랜드넛오일, 기름골뿌리오일, 해바라기씨오일, 정제수, 토코페릴아세테이트, 향료",20대,복합성,None,4,7695
아누아 어성초 포어 컨트롤 클렌징오일 350ml,29900,"에틸헥실팔미테이트, 솔베스-30테트라올리에이트, 솔비탄세스퀴올리에이트, 카프릴릭/카프릭트라이글리세라이드, 부틸아보카데이트, 향료, 해바라기씨오일, 마카다미아씨오일, 올리브오일, 호호바씨오일, 포도씨오일, 카프릴릴글라이콜, 에틸헥실글리세린, 울금뿌리추출물, 인도멀구슬나무꽃추출물, 토코페롤, 인도멀구슬나무잎추출물, 약모밀추출물, 참산호말추출물, 인도멀구슬나무껍질추출물, 드럼스틱씨오일, 홀리바질잎추출물",20대,복합성,None,5,1286
[1+1] 마녀공장 퓨어&딥 클렌징 폼 1+1 기획 (120ml+120ml),12000,"글리세린, 정제수, 미리스틱애씨드, 스테아릭애씨드, 라우릭애씨드, 포타슘코코에이트, 포타슘하이드록사이드, 포타슘코코일글리시네이트, 팔미틱애씨드, 소듐하이알루로네이트, 부틸렌글라이콜, 라 벤더꽃수, 보리지추출물, 수레국화꽃추출물, 클레리추출물, 히아신스전초추출물, 세라마이드엔피, 마트리카리아꽃/잎추출물, 하이드로제네이티드레시틴, 연꽃꽃추출물, 인동덩굴꽃추출물, 알바수련꽃추출물, 세룰라타벚나무꽃추출물, 장미꽃추출물, 1,2-헥산다이올, 코코-글루코사이드, 글리세릴스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐코코일이세티오네이트, 올레익애씨드, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린, 퀼라자껍질추출물, 잇꽃꽃추출물, 크리산텔룸 인디쿰추출물, 아라키딕애씨드, 소듐 파이테이트, 폴리쿼터늄-7, 다마스크장미꽃오일, 센티드제라늄꽃오일, 일랑일랑꽃오일, 시트릭애씨드, 포타슘솔베이트, 소듐벤조에이트, 오렌지껍질오일, 해바라기씨오일, 베르가모트오일",20대,복합성,None,6,22070
닥터지 브라이트닝 필링젤 120g 기획 (필링젤 60g+배리어D로션 2ml),21000,"1. 브라이트닝 필링젤
정제수, 셀룰로오스, 다이프로필렌글라이콜, 글리세릴카프릴레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 카프릴릴글라이콜, 알란토인, 판테놀, 폴리글리세릴-10라우레이트, 프로판다이올, 알지닌, 다이소듐이디티에이, 글리세린, 1,2-헥산다이올, 부틸렌글라이콜, 소듐하이알루로네이트, 글라이코스핑고리피드, 하이드록시프로필트라이모늄하이알루로네이트, 아스코빅애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세 틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘 하이알루로네이트

2. 배리어D 로션
정제수, 프로판다이올, 하이드로제네이티드폴리데센, 스쿠알란, 폴리글리세릴-3다이스테아레이트, 글리세린, 비닐다이메티콘, 실리카, 솔비탄스테아레이트, 1,2-헥산다이올, 세테아릴올리베이트, 세라마이드엔피, 카프릴릴글라이콜,  솔비탄올리베이트, 올리브오일불검화물, 하이드로제네이티드레시틴, 글리세릴스테아레이트시트레이트, 폴리아크릴레이트크로스폴리머-6, 글리세릴글루코사이드, 잔탄검, 돌콩오일불검화물, 밀배아오일불검화물, 토코페롤, 아이소말트, 수크로오스코코에이트, 콜레스테롤, 글루코노락톤, 에틸헥실글리세린, 팔미틱애씨드, 카프릴릭/카프릭트라이글리세라이드, 꽃가루추출물, 다이소듐이디티에이, 소듐하이알루로네이트, 자일리틸글루코사이드, 안하이드로자일리톨, t-부틸알코올, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 자일리 톨, 글루코오스, 알루미늄/마그네슘하이드록사이드스테아레이트, 미리스틱애씨드, 흰목이버섯폴리사카라이드, 소듐스테아로일글루타메이트, 스테아릭애씨드, 7-데하이드로콜레스테롤, 소듐아스코빌포스페이트, 칼슘클로라이드, 포도즙추출물, 피톨",30대,복합성,None,7,28980
비플레인 녹두 약산성 클렌징폼 160ml + 40ml 기획,21900,"글리세린, 녹두추출물, 소듐코코일글라이시네이트, 소듐라우로일글루타메이트, 정제수, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 녹두가루, 라우릴베타인, 하이드록시아세토페논, 에틸헥실글리세 린, 황벽나무껍질추출물, 소듐클로라이드, 캐모마일꽃추출물, 베타인, 폴리쿼터늄-39, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 덱스트린, 카카오씨추출물, 아이비고드열매추출물, 알란토인, 알로에베라꽃추출물, 가지열매추출물, 병풀추출물, 무화과추출물, 홀리 바질잎추출물, 참산호말추출물, 울금뿌리추출물, 하이드로제네이티드레시틴, 세라마이드엔피, 소듐하이알루로네이트, 녹차가루",20대,복합성,None,8,5826
"파파레서피 효소 파우더 클렌저 50g 3종 택1 ([인씨 PICK] 블레미쉬(광채), 가지(보습), 티트리(진정))",18000,"옥수수전분,소듐코코일이세티오네이트,소듐라우로일글루타메이트,소듐팔미테이트,다이글리세린,호두나무열매껍질가루,쌀가루,시트릭애씨드, 홍삼추출물,로즈마리잎추출물,황금추출물,송이버섯추출물,신선초잎/줄기추출물,쌀추출물,쇠비름추출물,알부틴,쌀발효여과물,코튼추출물,락토바이오닉 애씨드,알란토인,말토덱스트린,파파인,정제수,글리세린,부틸렌글라이콜,소듐벤조에이트,1,2-헥산다이올,향료",20대,복합성,None,9,3875
[단독기획디렉터파이 PICK] 토리든 다이브인 저분자 히알루론산 클렌징 폼 더블 기획 (150ml+150ml),26000,"정제수, 글리세린, 소듐코코일글라이시네이트, 소듐라우로일글루타메이트, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 판테놀, 알란토인, 트레할로오스, 토코페롤, 버지니아풍년화추출물, 녹차추출물,  마트리카리아추출물, 부틸렌글라이콜, 다이프로필렌글라이콜, 하이드록시프로필스타치포스페이트, 글리세릴스테아레이트에스이, 포타슘 벤조에이트, 소듐클로라이드, 폴리쿼터늄-67, 소듐아세테이트, 1,2-헥산다이올, 시트릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 말라카이트추출물",20대,"건성, 복합성",None,10,1222
[1등 클렌징밤]바닐라코 클린잇제로 클렌징 밤 오리지널 100ml,20000,"에칠헥실팔미테이트, 세틸에칠헥사노에이트, 피이지-20글리세릴트리이소스테아레이트, 피이지-10이소스테아레이트, 합성왁스, 온천수, 지치뿌리추출물, 토코페릴아세테이트, 대나무잎/줄기추출물, 루이보스추출물, 안젤리카뿌리추출물, 아세로라추출물, 폴리디에칠렌글라이콜아디페이트/아이피디아이코폴리머, 아크릴레이트/암모늄메타크릴레이트코폴리머, 아크릴레이트/메톡시피이지-15메타크릴레이트코폴리머, 페녹시에탄올, 부틸렌글라이콜, 정제수, 향료, 1,2-헥산 디올, 에칠헥실글리세린",20대,"건성, 복합성",None,11,6042
[단독기획]메이크프렘 세이프 미 릴리프 모이스처 비건 클렌징오일 리필기획 (210ml+100ml 증정),28000,"해바라기씨오일, 살구씨오일, 카프릴릭/카프릭트라이글리세라이드, 아이소프로필미리스테이트, 옥틸도데칸올, 에톡시다이글라이콜, 솔베스-30테트라올리에이트,  피마자씨오일, 세틸에틸헥사노에이트, 호호바씨오일, 블랙윌로우나무껍질추출물, 유향나무오일, 토코페롤, 정제수",30대,복합성,None,12,2442
