상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
"[덱스 PICK] 오브제 내추럴 커버 파운데이션 13g (SPF50+, PA++++)",36800,"카프릴릭/카프릭트라이글리세라이드@티타늄디옥사이드@다이부틸아디페이트@폴리에틸렌@C12-15알킬벤조에이트@에틸헥실팔미테이트@디에칠아미노하이드록시벤조일헥실벤조에이트@에칠헥실트리아존@오조케라이트@토코페릴아세테이트@트라이에틸헥사노인@폴리글리세릴-6폴리리시놀리에이트@비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리 머@비스-에틸헥실옥시페놀메톡시페닐트라이아진@하이드로제네이티드폴리아이소부텐@실리카@합성플루오르플로고파이트@솔비탄세스퀴올리에이트@약모밀추출물@포트마리골드꽃추출물@삼나무잎추출물@연꽃잎추출물@알파-비사보롤@스테아랄코늄헥토라이트@알루미늄하이드록사이드@프로필렌카보네이트@폴리하이드록시스테아릭애씨드@아이소스테아릭애씨드@레시틴@아이소프로필미리스테이트@토코페롤@프로필렌글라이콜다이카프릴레이트/다이카프레이 트@폴리글리세릴-3폴리리시놀리에이트@정제수@부틸렌글라이콜@자일리틸글루코사이드@안하이드로자일리톨@자일리톨@1,2-헥산다이올@글루코오스@효모발효여과물@향료@데하이드로아세틱애씨드@황색산화철@적색산화철@흑색산화철",20대,"지성, 건성, 복합성",None,2,2311
[온라인 단독]아이디얼 포 맨 퍼펙트 올인원 밀크 스페셜 기획 세트(150ml+150ml+20ml+클렌징폼(20ml)),48000,"[퍼펙트 올인원] 정제수, 글리세린, 메틸트라이메티콘, 메틸프로판다이올, 에틸헥실스테아레이트, 에탄올, 1,2-헥산다이올, 나이아신아마이드, 하이드로제네이티드폴리(C6-14올레핀), 폴리글리세릴-3다이스테아레이트, 다시마추출물, 한련초잎추출물, 병풀추출물, 무화과추출물, 올레라케아아크멜라추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 슈도알테로모나스발효추출물, 플랑크톤추출물, 하이드로제네이티드레시틴, 아르간커넬오일, 글리세릴스테아레이트, 트레할로오스, 알지닌, 카보머, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 판테놀, 소듐스테아로일글루타메이트, 아데노신, 다이메티콘, 베헤닐알코올, 스쿠알란, 하이드로제네이티드폴리아이소부텐, 세테아릴알코올, 다이소듐이디티에이, 베타인, 프룩토올리고사카라이드, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트에스이, 베타-글루칸, 스테아릭애씨드, 시어버터, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 콜레스테롤, 하이드롤라이즈드하이알루로닉애씨드, 세라마이드엔피, 이눌린라우릴카바메이트, 잔탄검, 다이소듐스테아로일글루타메이트, 세린, 알라닌, 프롤린, 해수, 소듐포스페이트, 마데카소사이드, 소듐하이드록사이드, 아세틸헥사펩타이드-8, 에틸헥실글리세린, 카프릴릴글라이콜, 향료, 부틸페닐메틸프로피오날, 리모넨
[퍼펙트 클렌징폼 올인원] 정제수, 미리스틱애씨드, 글리세린, 메틸프로판다이올, 포타슘하이드록사이드, 라우릭애씨드, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트, 병풀추출물, 무화과추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 녹차추출물, 달맞이꽃추출물, 대왕송잎추출물, 칡뿌리추출물, 스페인감초뿌리추출물, 플랑크톤추출물, 하이드로제네이티드레시틴, 아크릴레이트코폴리머, 포타슘코코에이트, 포타슘코코일글리시네이트, 솔비탄올리베이트, 라우릴베타인, 폴리글리세릴-10라우레이트, 폴리쿼터늄-7, 알란토인, 소듐클로라이드, 다이소듐이디티에이, 부틸렌글라이콜, 세라마이드엔피, 해수, 마데카소사이드, 1,2-헥산다이올, 에틸헥실글리세린, 소듐벤조에이트, 향료, 부틸페닐메틸프로피오날, 리모넨","20대,30대","건성, 복합성",보습,3,1733
우르오스 스킨밀크 200ml,29700,"■ 정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨",20대,"건성, 복합성",보습,4,2373
닥터지 레드 블레미쉬 포 맨 올인원 플루이드 150ml+75ml 기획,32000,"정제수, 나이아신아마이드, 아이소도데케인, 카프릴릴메티콘, 메틸프로판다이올, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 다이메티콘/비닐다이메티콘크로스폴리머, 폴리글리세릴-2스테아레이트, C14-22알코올, C12-16알코올, 글리세릴스테아레이트, 스테아릴알코올, 부틸렌글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 소듐폴리아크릴로일다이메틸타우레이트, 하이드로제네이티드레시틴, 팔미틱애씨드, 소듐하이알루로네이트, 아데노신, 트로메타민, 병풀추출물, 호장근뿌리추출물, 잔탄검, 황금추출물, 다이소듐이디티에이, 녹차추출물, 스페인감초뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 글루코오스, 글루코노락톤, 세라마이드엔피, 티트리잎오일, 말토덱스트린, 마데카소사이드, 사카라이드하이드롤리세이트, 아보카도열매추출물, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 다시마추출물, 당느릅나무뿌리추출물, 알로에베라잎추출물, 참마뿌리추출물, 제비꽃꽃추추물",20대,복합성,"보습, 진정",5,4749
아이디얼 포 맨 퍼펙트 올인원 탄력 기획(올인원 30ml+탄력크림 30ml 증정),29000,"[퍼펙트 올인원 밀크] 정제수, 글리세린, 메틸트라이메티콘, 메틸프로판다이올, 에틸헥실스테아레이트, 에탄올, 1,2-헥산다이올, 나이아신아마이드, 하이드로제네이티드폴리(C6-14올 레핀), 폴리글리세릴-3다이스테아레이트, 다시마추출물, 한련초잎추출물, 병풀추출물, 무화과추출물, 올레라케아아크멜라추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 슈도알테로모나스발효추출물, 플랑크톤추출물, 하이드로제네이티드레시틴, 아르간커넬오일, 글리 세릴스테아레이트, 트레할로오스, 알지닌, 카보머, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 판테놀, 소듐스테아로일글루타메 이트, 아데노신, 다이메티콘, 베헤닐알코올, 스쿠알란, 하이드로제네이티드폴리아이소부텐, 세테아릴알코올, 다이소듐이디티에이, 베타 인, 프룩토올리고사카라이드, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트에스이, 베타-글루칸, 스테아릭애씨드, 시어버터, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 콜레스테롤, 하이드롤라이즈드하이알루로닉애씨드, 세라마이드엔피, 이눌린라우릴카바메이트, 잔탄검, 다이소듐스테아로일글루타메이트, 세린, 알라닌, 프롤린, 해수, 소듐포스페이트, 마데카소 사이드, 소듐하이드록사이드, 아세틸헥사펩타이드-8, 에틸헥실글리세린, 카프릴릴글라이콜, 향료, 부틸페닐메틸프로피오날, 리모넨
[퍼펙트 탄력크림] 정제수, 메틸트라이메티콘, 글리세린, 메틸글루세스-20, 나이아신아마이드, 펜틸렌글라이콜, 스쿠알란, 메틸프로판다이 올, 1,2-헥산다이올, 하이드로제네이티드식물성오일, 호호바에스터, 클로렐라 불가리스추출물, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 하이드롤라이즈드콜라겐, 소듐하이알루로네이트, 애플민트잎추출물, 녹 차추출물, 타임잎추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 베타인, 프로판다이올, 비닐다이메티콘, 다이아이 소스테아릴말레이트, 판테놀, 폴리메틸실세스퀴옥세인, 세테아릴올리베이트, 솔비탄올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머, 글루코오스, 실리카, 트로메타민, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 카프릴릴글라이콜, 다이포타슘글리시리제이트, 프룩토올리고사카라이드, 프룩토오스, 에틸헥실글리세린, 하이드로제네이티드레시틴, 아데노신, 소듐파이테이트, 솔비탄아이소스 테아레이트, 세라마이드엔피, 레시틴, 토코페롤, 마데카소사이드, 글라이신, 세린, 글루타믹애씨드, 하이드록시프로필트라이모늄하이알 루로네이트, 아스파틱애씨드, 류신, 알라닌, 라이신, 아세틸헥사펩타이드-8, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린,  아이소류신, 히스티딘, 시스테인, 메티오닌, 아스코빅애씨드폴리펩타이드, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐 하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세 틸테트라펩타이드-3, 아세틸테트라펩타이드-5, 아세틸테트라펩타이드-9, 카르노신, 카퍼트라이펩타이드-1, 노나펩타이드-1, 팔미토일펜 타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 향료, 리날룰, 리모넨, 카라멜",20대,복합성,"보습, 진정",6,2424
아이디얼 포 맨 시카 흔적 올인원 플루이드 한정기획(75mL 증정),30000,"정제수, 글리세린, 프로판다이올, 다이프로필렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 베타인, 2,3-부탄다이올, 폴리메틸실세스퀴옥세인, 병풀추출물, 쇠비름추출물, 약모밀추출물, 플랑 크톤추출물, 소듐하이알루로네이트, 수크로오스스테아레이트, 다이에톡시에틸석시네이트, 스쿠알란, 카프릴릴메티콘, 폴리글리세릴-10라우레이트, 폴리글리세릴-10스테아레이트, 카보머, 트로메타민, 잔탄검, 아데노신, 글리세릴폴리메타크릴레이트, 부틸렌글라이콜, 다이소듐이디티에이, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드포스파티딜콜린, 세테아릴알코올, 하이드롤라이즈드하이알루로닉애씨드, 아시아티코사이드, 마데카식애씨드, 마데카소사이드, 아시아틱애씨드, 에스신, 소듐아세틸레이티드하이알루로네이트, 해수, 에 틸헥실글리세린",20대,복합성,"보습, 진정",8,1918
[덱스 PICK]오브제 무드체인지 립밤 3g,11900,하이드로제네이티드폴리아이소부텐@비스-다이글리세릴폴리아실아디페이트-2@옥틸도데칸올@시어버터@합성왁스@오조케라이트@카나우바왁스@세테아릴알코올@비즈왁스@폴리글리세릴-2트라이아이소스테아레이트@토코페릴아세 테이트@카프릴릴글라이콜@향료@페녹시에탄올@펜타에리스리틸테트라-다이-t- 부틸하이드록시하이드로신나메이트@헥실렌글라이콜@실리카다이메틸실릴레이트@트라이에톡시카프릴릴실레인@알루미늄하이드록사이드@티타늄디옥사이드@적색산화철@적색202호@흑색산화철@적색218호@ 적색201호@청색1호,20대,"건성, 복합성",None,9,1778
우르오스 스킨로션 200ml,29700,"■ 정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰",30대,복합성,"보습, 진정",11,1444
비레디 블루쿠션 SPF 34 PA++15g (본품리필 택1),29000,"[비레디 NEW 블루쿠션 1호 (SPF 34 PA++/15g)]
정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 사이클로헥사실록세인, 마이카, 실리카, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 징크옥사이드, 아이소도데케인, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 폴리메틸메타크릴레이트, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 황색산화철, 소듐클로라이드, 1,2-헥산다이올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 알루미늄하이드록사이드, 폴 리솔베이트80, 카프릴릴글라이콜, 적색산화철, 트라이에톡시카프릴릴실레인, 스테아릭애씨드, 하이드로제네이티드레시틴, 라우로일라이 신, 향료, 에틸헥실글리세린, 흑색산화철, 다이소듐이디티에이, 비에이치티, 토코페롤, 키토산, 소듐라우로일글루타메이트, 라이신, 마 그네슘클로라이드, 리파아제

[비레디 NEW 블루쿠션 2호 (SPF 34 PA++/15g)]
정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 사이클로헥사실록세인, 마이카, 실리카, 피이지-10다이메티콘,  트라이메틸실록시실리케이트, 징크옥사이드, 아이소도데케인, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 폴리메틸메타크릴레이트, 다이스테아다이모늄헥토라이트, 황색산화철, 소듐클로라이드, 1,2-헥산다이 올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 알루미늄하이드록사이드, 적색산화철, 폴리솔베이트80, 트 라이에톡시카프릴릴실레인, 카프릴릴글라이콜, 스테아릭애씨드, 흑색산화철, 하이드로제네이티드레시틴, 라우로일라이신, 향료, 에틸헥 실글리세린, 다이소듐이디티에이, 비에이치티, 토코페롤, 키토산, 소듐라우로일글루타메이트, 라이신, 마그네슘클로라이드, 리파아제

[비레디 NEW 블루쿠션 3호 (SPF 34 PA++/15g)]
정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 사이클로헥사실록세인, 마이카, 실리카, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 징크옥사이드, 아이소도데케인, 티타늄디옥사이드, 황색산화철, 라우릴피이지-8다이메티콘, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 소듐클로라이드, 1,2-헥산다이올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크 릴레이트코폴리머, 적색산화철, 알루미늄하이드록사이드, 폴리메틸메타크릴레이트, 흑색산화철, 트라이에톡시카프릴릴실레인, 폴리솔베 이트80, 카프릴릴글라이콜, 스테아릭애씨드, 하이드로제네이티드레시틴, 라우로일라이신, 향료, 에틸헥실글리세린, 다이소듐이디티에이, 비에이치티, 토코페롤, 키토산, 소듐라우로일글루타메이트, 라이신, 마그네슘클로라이드, 리파아제

[비레디 NEW 블루쿠션 4호 (SPF 34 PA++/15g)]
정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나 메이트, 사이클로헥사실록세인, 마이카, 실리카, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 징크옥사이드, 황색산화철, 아이소도데케인, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 다이스테아다이모늄헥토라이트, 소듐클로라이드, 1,2-헥산다이올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 적색산화철,  알루미늄하이드록사이드, 폴리메틸메타크릴레이트, 흑색산화철, 트라이에톡시카프릴릴실레인, 폴리솔베이트80, 카프릴릴글라이콜, 스테 아릭애씨드, 하이드로제네이티드레시틴, 라우로일라이신, 향료, 에틸헥실글리세린, 다이소듐이디티에이, 비에이치티, 토코페롤, 키토산, 소듐라우로일글루타메이트, 라이신, 마그네슘클로라이드, 리파아제

[비레디 NEW 블루쿠션 5호 (SPF 34 PA++/15g)]
정제수, 사이클 로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 사이클로헥사실록세인, 티타늄디옥사이드 (CI 77891), 마이카, 실리카, 피이지-10다이메티콘, 트라이메틸실록시실리케이트, 징크옥사이드, 아이소도데케인, 황색산화철, 티타늄디옥사이드, 라우릴피이지-8다이메티콘, 다이스테아다이모늄헥토라이트, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 소듐클로라이드, 1,2-헥산다이올, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 적색산화철, 폴리메틸메타크릴레이트, 흑색산 화철, 알루미늄하이드록사이드, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 스테아릭애씨드, 라우로일라이신, 폴리솔베이트80, 향 료, 에틸헥실글리세린, 하이드로제네이티드레시틴, 다이소듐이디티에이, 비에이치티, 토코페롤, 키토산, 소듐라우로일글루타메이트, 라 이신, 마그네슘클로라이드, 리파아제",20대,복합성,None,13,951
"[피식대학 민수PICK]비레디 트루 톤 로션 33ml (SPF50+, PA++++)",37000,"정제수, 호모살레이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실살리실레이트, 글리세린, 티타늄디옥사이드 (CI 77891), 비스-에칠헥실옥시페놀메톡시페닐트리아 진, C12-15알킬벤조에이트, 다이아이소프로필세바케이트, 메틸트라이메티콘, 테레프탈릴리덴디캠퍼설포닉애씨드, 1,2-헥산다이올, 소듐 하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드 하이알루로네이트, 포타슘세틸포스페이트, 세테아릴알코올, 트로메타민, 황색산화철, 글리세릴스테아레이트, 베헤닐알코올, 트라이메틸 실록시실리케이트, 폴리아크릴레이트크로스폴리머-6, 잔탄검, 소듐폴리아크릴로일다이메틸타우레이트, 마이카, 하이드로제네이티드레시 틴, 적색산화철, 폴리C10-30알킬아크릴레이트, 에틸헥실글리세린, 알루미늄하이드록사이드, 폴리에스터-1, 스테아릭애씨드, 실리카다이 메틸실릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트라이에톡시카프릴릴실레인, 팔미틱애씨드, 향료, 다이소듐이디티에 이, 아데노신, 흑색산화철, 에탄올, 마트리카리아꽃추출물, 미리스틱애씨드, 프로판다이올, 라우릭애씨드, 말라카이트추출물, 토코페롤",30대,"지성, 건성",None,15,271
