상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
[심톨 PICK15ml 추가증정]바이오더마 시카비오 포마드 100ml 더블기획,48100,"정제수, 글리세린, 미네랄오일, 카프릴릭/카프릭트라이글리세라이드, 프룩토올리고사카라이드, 폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트, 프로판다이올, 자일리톨, 징크스테아레이트, 소듐시트레이트, 부틸렌글라이콜, 카프릴로일글라이신, 카퍼설페이트, 소듐하이드록사이드, 소듐하이알루로네이트, 징크설페이트, 포도덩굴추출물, 라우레스-3, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 라미나리아 오크롤레우카추출물, 하이드록시에틸셀룰로오스, 아세틸다이펩타이드-1세틸에스터, 만니톨, 포타슘솔베이트, 람노오스",30대,"건성, 복합성",보습,1,12541
[리뷰이벤트모공교정앰플] 디마르3 시그니처 에스투드 프로텍터 대용량 앰플 170ml,59900,"병풀추출물, 글리세린, 메틸프로판다이올, 글리세레스-26, 정제수, 1,2-헥산다이올, 나이아신아마이드, 베타인, 에탄올, 트레할로오스, 판테놀, 소듐하이알루로네이트, 세라마이드엔피, 페루기네움철쭉추출물, 에델바이스꽃/잎추출물, 엘더꽃추출물, 노티드랙추출물, 당아욱꽃/잎/줄기추출물, 레이디스맨틀꽃/잎/줄기추출물, 레몬밤잎추출물, 페퍼민트잎추출물, 서양톱풀꽃/잎/줄기추출물, 스피드웰꽃/잎/줄기추출물, 카우슬립꽃추출물, 락토바실러스/콩발효추출물, 오레가노잎추출물, 편백잎추출물, 흰버드나무껍질추출물, 육계나무껍질추출물, 쇠비름추출물, 황금추출물, 월귤잎추출물, 소엽맥문동뿌리추출물, 무화과추출물, 피토스핑고신, 아데노신, 하이드로제네이티드레시틴, 폴리글리세릴-10라우레이트,카보머, 트로메타민, 셀룰로오스검, 글리세릴폴리메타크릴레이트, 다이소듐이디티에이, 카라멜, 프로필렌글라이콜, 말토덱스트린, 아라비아고무나무검, 시트릭애씨드, 화산재, 다이소듐포스페이트, 향료, 펜틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 소듐벤조에이트, 포타슘솔베이트, 리날룰",30대,복합성,보습,2,512
VT 리들샷 100 에센스 50ml,32000,"정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 부틸렌글라이콜, 마카다미아씨오일, 1,2-헥산다이올, 에틸헥실팔미테이트, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 하이드롤라이즈드해면, 글리세레스-26, 에틸헥실글리세린, 카프릴릴글라이콜, 아데노신, 소듐폴리아크릴레이트, 소듐하이알루로네이트, 병풀추출물, 카프릴릴/카프릴글루코사이드, 솔비탄올리에이트, 잔탄검, 프로폴리스추출물, 아시아티코사이드, 마데카소사이드, 마데카식애씨드, 아시아틱애씨드, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알 라닌, 트레오닌, 프롤린, 발린, 아이소류신, 히스티딘, 메티오닌, 시스테인",20대,복합성,"진성, 주름/미백",3,995
에스트라 아토베리어365 크림 80ml 기획 (+하이드로에센스 25ml+무기자차선크림10ml 증정),31000,"정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 펜타에리스리틸테트라아이오스테아레이트, 사이클로펜타실록세인, 스쿠알란, 세틸에틸헥사노에이트 베헤닐알코올, 스테아릭애씨드, 하이드록시프로필비스팔미타마이드엠이에이, 사이클로헥사실록세인, C14-22알코올, 하이드록시프로필비스라우라마이드엠에이, 만니톨, 아라키딜알코올, 콜레스테롤, 폴리아크릴레이트-13, 카나우바왁스추출물, C12-20알킬글루코사이드, 알란토인, 아라키딜글루코사이드, 다이메틴콘올, 폴리아이소부텐, 피토스핑고신, 글리세릴카프릴레이 트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 카보머, 트로메타민, 에틸헥실글리세린, 실리카, 폴리솔베이트20, 솔비탄아이소스테아레이트, 글루코오스, 아라키딕애씨드, 팔미틱애씨드, 소목줄기가루, 올레익애씨드, 토코페롤",30대,"건성, 복합성",보습,4,38468
[민동성공동개발] 메디필 히알루론산 레이어 물톡스 앰플 더블 기획 30ml,34000,"정제수, 프로판다이올, 글리세린, 다이프로필렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 다시마추출물, 한련초잎추출물, 병풀뿌리추출물, 에난티아 클로란타껍질추출물, 지모뿌리추출물, 소듐하이알루로네이트(500.1 ppm), 하이드로제네이티드레시틴, 알란토인, 카보머, 엑토인, 판테놀, 아데노신, 다이소듐이디티에이, 프룩토올리고사카라이드, 자일리톨, 부틸렌글라이콜, 베타-글루칸, 자일리틸글루코사이드, 하이드롤라이즈드하이알루로닉애씨드(30 ppm), 안하이드로자일리톨, 콜라겐, 류코노스톡/무발효여과물, 수크로오스팔미테이트, 스쿠알란, 폴리글루타믹애씨드, 글리세릴리놀리에이트, 하이드로제네이티드폴리아이소부텐, 글리세릴글루코사이드, 토코페롤, 올레아놀릭애씨 드, 세라마이드엔피, 글라이신, 글루타믹애씨드, 알지닌, 하이드록시프로필사이클로덱스트린, 카프릴릭/카프릭트라이글리세라이드, 수크로오스다이스테아레이트, 피토스핑고신, 에틸헥실글리세린, 쌀겨오일, 해바라기씨오일, 트로메타민",40대 이상,"건성, 복합성",보습,5,3498
[2세대 천만크림] 닥터지 레드 블레미쉬 클리어 수딩 크림 70ml+30ml 세트,38000,"정제수, 글리세린, 부틸렌글라이콜, 다이카프릴릴에터, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리데센, 펜틸렌글라이콜, 다이카프릴릴카보네이트, 비닐다이 메티콘, 카프릴릴메티콘, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 판테놀, 아크릴레이트/C10-30알 킬아크릴레이트크로스폴리머, 다이메티콘올, 폴리메틸실세스퀴옥세인, 트로메타민, 다이포타슘글리시리제이트, 글리세릴아크릴레이 트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 잔탄검, 병풀잎추출물, 프룩토올리고사카라이드, 소듐파이테이트, 알란토인, 락토바실러스발효물, 락토바실러스/콩발효추출물, 류코노스톡/무발효여과물, 효모발효추출물, 토코페롤, 에피갈로카테킨갈레이트, 마데카 소사이드, 베타-글루칸, 병풀추출물, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드",20대,복합성,"보습, 진정",6,9292
[서강준 Pick] 성분에디터 그린토마토 포어 리프팅 앰플 플러스 30ml 더블 기획,25900,"정제수,부틸렌글라이콜, 글리세린, 자일리톨, 1,2-헥산다이올, 나이아신아마이드, 다이프로필렌글라이콜, 에탄올, 트레할로오스, 잔탄검, C12-13파레스-9, 카보머, 다이 포타슘글리시리제이트, 트로메타민, 알란토인, 폴리메틸실세스퀴옥세인, 소듐시트레이트, 아데노신, 인도멀구슬나무잎추출물, 인도 멀구슬나무꽃추출물, 스타이렌/아크릴레이트코폴리머, 토마토추출물, 데이지꽃추출물, 하이드롤라이즈드콜라겐, 판테놀, 글루코노락톤, 아이비고드열매추출물, 호박가루, 가지열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 드럼스틱씨오일, 하이 드로제네이티드폴리아이소부텐, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 세라마이드엔피, 하이알루로닉애씨드, 하이드롤 라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 칡뿌리추출물, 대 왕송잎추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 지모뿌리추출물, 에틸헥실글리세린, 메틸다이하이드로자스모네이트, 다이소 듐이디티에이, 페네틸알코올, 소듐클로라이드, 다이소듐포스페이트, 포타슘클로라이드, 포타슘포스페이트, 에틸리날룰, 에틸렌브라 실레이트, 리날릴아세테이트, 유칼립톨, 메틸렌다이옥시페닐메틸프로판알, 2-t-부틸사이클로헥실아세테이트, 헥세닐아세테이트, 3- 헥센올, 2,4-다이메틸-3-사이클로헥신카복스알데하이드, 벤질글라이콜, 토코페롤, 라즈베리케톤",20대,복합성,"보습, 진정",7,6858
[인보라 PICK] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),24000,"정제수, 스쿠알란(150,000ppm), 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드콜라겐, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 아데노신, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아크릴레이트/C10-30알킬아 크릴레이트크로스폴리머, 알지닌, 알란토인, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 부틸렌글라이콜,  암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜",20대,"건성, 복합성",보습,8,9324
[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,46000,"월귤추출물(604,074ppm), 부틸렌글라이콜, 나이아신아마이드 (50,000ppm), 판테놀(50,000ppm), 트라넥사믹애씨드(40,000ppm), 정제수, 1,2-헥산다이올, 네오펜틸글라이콜다이카프레 이트, 카프릴릭/카프릭트라이글리세라이드, 솔비톨, 비피다발효용해물, 아이리쉬모스추출물, 시어버터, 사탕수수추출물, 알파-알부 틴, 소듐하이알루로네이트, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 흰목이버섯추출물, 펜틸렌글라이콜, 글리세린, 3-O-에틸아스코빅애씨드(2,000ppm), 비사보롤, 트로메타민, 에틸헥실글리세린, 아데노신, 하이드로제네이티드레시틴, 알란토인, 글루타티온(100ppm), 세라마이드엔피, 베타-글루칸, 다이포타슘글리시리제이트, 토코페롤, 아스코빅애씨드(1ppb), 아스코빌글루코사이드(1ppb), 토코페릴아세테이트, 하이드록시프로필사이클로덱스트린, 유비퀴논, 티옥 틱애씨드, 포타슘하이드록사이드, 베헤닐알코올, 카보머, 잔탄검, 다이소듐이디티에이",20대,"건성, 복합성",주름/미백,9,3994
[대용량] 파티온 노스카나인 트러블 세럼 단독 기획(50ml+15ml),38000,"쑥잎추출물, 정제수, 글리세린, 다이프로필렌글라이콜, 판테놀, 1,2-헥산다이올, 펜틸렌글라이콜, 소듐하이알루로네이트, 병풀추출물, 소듐헤파린, 사과추출물, 다이에톡시에틸석시네이트, 하이드록시에틸우레아, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 트로메타민, 알란토인, 하이드록시아세토페논, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 석시닉애씨드, 토코페롤, 카프릴릴/카프릴글루코사이드, 하이드로제네이티드레시틴, 세라마이드엔피, 잔탄검",30대,복합성,진정,10,14861
에스트라 아토베리어365 로션 150ml 기획 (+하이드로에센스 25ml+무기자차선크림10ml 증정),31000,"정제수, 부틸렌글라이콜, 글리세린, 스쿠알란,펜타에리스리틸테트라이소스테아레이트, 사이클로펜타실록산, 폴리글리
세릴-3메칠글루코오스디스테아레이트, 부틸렌글라이콜 디카프릴레이트/디카프레이트, 카프릴릭/카프릭트리글리세라이드, 사이
클로헥사실록산, 스테아릭애씨드, 팔미틱애씨드, 글리세릴스테아레이트, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타
우레이트코폴리머,하이드록시프로필비스팔미타 마이드엠이에이, 폴리글리세릴-10스테아레이트, 디메치콘올,콜레스테롤, 하이
드록시프로필비스라우라마이드엠이에이, 베헤닐알코 올, 피토스핑고신,글리세릴카프릴레이트, 카보머, 디소듐이디티에이, 에칠
헥실글리세린, 트로메타민, 소르비탄이소스테아레이트, 아라키딕애씨드, 미리스틱애씨드, 만니톨, 카나우바왁스추출물, 토코페롤,
아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카,  소목줄기가루, 올레익애씨드",20대,"건성, 복합성",보습,11,9590
[한정기획] 구달 청귤 비타C 잡티케어 세럼 50ml+31ml 증정 기획,43000,"탄제린추출물(70%), 부틸렌글라이콜, 나이아신아마이드, 다이프로필렌글라이콜, 메틸글루세스-20, 정제수, 1,2-헥산다이올, 글리세레스-26, 알부틴, 아이리쉬모스추출물, 사탕수수추출 물, 하이드롤라이즈드호호바에스터, 소듐하이알루로네이트, 베르가모트오일, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구 슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 라벤더오일, 레몬껍질오일, 일랑일랑꽃오일, 오렌지껍질오일, 유칼립투스잎추출 물, 감초뿌리추출물, 캐모마일꽃추출물, 녹차추출물, 병풀추출물, 로즈마리잎추출물, 호장근뿌리추출물, 병풀잎추출물, 암모늄아크 릴로일다이메틸타우레이트/브이피코폴리머, 판테놀, 콜레스-24, 트로메타민, 에틸헥실글리세린, 알란토인, 토코페릴아세테이트, 아 데노신, 소듐파이테이트, 아스코빌글루코사이드, 다이포타슘글리시리제이트, 글리세린, 마데카소사이드, 말토덱스트린, 사카라이드 하이드롤리세이트, 토코페롤, 아시아티코사이드, 카보머, 잔탄검, 리모넨, 리날룰",20대,복합성,주름/미백,12,6504
[단독기획] 토리든 다이브인 저분자 히알루론산 수딩크림 더블기획 (100ml+100ml),42000,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드로제네이티드다이데센, 알란토인, 트레할로오스, 버지니아풍년화추출물, 판테놀, 하이드롤라이즈드하이알루 로닉애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소 듐하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 2,3-부탄다이올, 세테아릴알코올, C14-22알코올, C12-20알킬글루코사이드, 펜틸렌글라이콜,  솔비탄아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 가지열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 클레리추출물, 라벤더꽃추출물, 히아신스전초추출물, 마트리카리아꽃추출물, 수레국화꽃추출물, 보리지추출물, 다이소듐이디티에이, 카보머, 트로메타민, 잔탄검, 글루타티온, 말라카이트추출물, 에틸헥실글리세린",30대,복합성,보습,13,5637
